language,cc Double,ncc Integer,diameter Integer,radius Integer,centralization Double,connPairs Long,avSpl Double,avNeighbors Double,nodeCount Integer,density Double,heterogeneity Double,usn Integer,nsl Integer,mnp Integer,time Double
english,0.27882289568523827,1,11,7,0.24451127223217292,4543292,3.023476809326805,7.435272045028142,2132,0.003489099974203727,3.139898455003053,0,12,1713,0.942
esperanto,0.3097399521379037,1,13,7,0.32444271184180346,24905090,3.0153138173762875,6.679623321979563,4991,0.001338601868132177,4.927124056746271,0,52,2747,5.489
finnish,0.10775533828678341,1,11,6,0.15645724137983374,31635000,3.6365031768610714,5.397333333333333,5625,9.59696538643907E-4,3.5376675405893994,0,53,1585,5.435
french,0.3158940262981231,1,7,4,0.1998365287034751,16414652,2.9639501343068377,7.861796643632774,4052,0.0019407051699908105,3.8942194249758066,0,42,3325,3.318
german,0.23322942219346532,1,10,6,0.19191943798078095,17003252,3.108688737895551,8.099903006789525,4124,0.0019645653666722105,3.425580229101734,0,37,2991,4.438
italian,0.22513760688418258,1,7,4,0.19409590812182256,22843620,3.1330678762823054,6.803765690376569,4780,0.0014236797845525357,4.095709067206751,0,42,2636,6.993
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,